Id,Name,Name [Scenes],Created at [Scenes]
86,光時代辦公室733,"0.0.0,光時代辦公室解謎,kill zombie,player sdk test game,會議室Demo,天文館,新威旅客中心-1F,測試－儀表板ＭＯＤＥＬ,08-中央廣場前段_藝廊,高雄市經發局,AR虛擬展場,高醫大校史館,demo場景,高工局Demo,蒐集遊戲測試,蒐集遊戲測試-群組蒐集,360任意門,聯合服務中心,RC_Demo_竹東星巴克,動作：Enable/Disable Node,禮納里旅客服務中心-室外,/1,高雄市經發局-複製henry,【5/24 複製_只有要調整的物件】RC_Demo_竹東星巴克,1.1.1,威許-六角-豬排,萊爾富,粽邪7樓快問快答第一組,音樂測試","2022年01月13日 15:24,2023年04月10日 13:17,2023年02月01日 17:16,2023年04月12日 11:09,2023年04月17日 13:34,2022年08月23日 15:00,2023年02月20日 15:12,2023年02月07日 14:29,2021年04月13日 18:14,2022年11月23日 09:05,2023年05月08日 11:56,2022年12月08日 17:22,2023年05月10日 17:08,2023年05月05日 14:31,2023年05月16日 10:13,2023年05月16日 13:17,2023年05月16日 11:40,2022年09月16日 15:07,2023年05月19日 12:50,2022年11月18日 11:57,2023年02月20日 15:51,2022年09月13日 10:23,2023年05月30日 17:57,2023年05月24日 16:38,2022年01月07日 17:29,2023年06月19日 17:10,2023年06月20日 14:20,2023年04月25日 10:18,2023年06月27日 11:31"
88,東三水街市場,東三水街市場,2021年12月07日 13:03
89,天文館,"天文館,元宇宙 in 市政府","2022年08月23日 15:00,2022年06月24日 11:15"
90,清水服務區,"",""
93,南湖圖書館,南湖圖書館,2021年12月22日 23:12
94,光點藝術中心,光點藝術中心,2021年12月28日 14:32
95,南湖6樓,古亭,2021年12月28日 12:31
96,南湖門口A,南湖高中智慧圖書館階梯教室,2021年12月28日 12:31
99,安西府,超感空間安西府3D財虎迎虎年TEST,2022年01月14日 15:33
100,Eliot Test Coordinate Sys.,"霹靂宇宙F.A.I.T.H in KH,RC_誠品站前店_聖誕節🎄,誠品站前店_萬聖節,(Eliot) Test Scene 3 (web),(Eliot) Test Scene 1 (web)","2022年09月13日 17:30,2022年07月01日 10:30,2022年10月07日 10:35,2022年11月23日 11:43,2022年11月23日 11:20"
105,星光大道,"星光大道,海底世界,星光大道,皇穹陵_豬哥亮","2022年02月23日 09:41,2022年02月21日 16:07,2022年07月22日 09:50,2023年06月15日 14:14"
106,皇穹陵花園,海底世界,2022年02月21日 16:07
107,皇穹陵咖啡廳,南投皇穹陵-咖啡廳,2022年02月21日 17:19
108,皇穹陵小老虎,南投皇穹陵-小老虎,2022年02月23日 12:05
115,集點測試,集點測試,2021年10月28日 18:01
116,臺北市政府大廳,元宇宙 in 市政府,2022年06月24日 11:15
118,擁恆-豬哥亮,擁恆_豬哥亮,2022年04月12日 13:09
119,臺北市政府停車場出口,台北市市政府-大門,2022年04月13日 16:23
120,臺北市政府西大門,台北市政府-正門口,2022年04月20日 09:54
121,比特宇宙,比特宇宙,2022年04月28日 10:45
122,竹東,臺北市政府大廳AR導覽_竹東,2022年05月05日 14:53
123,成都楊桃冰,julia_西門六號出口_火星貓_王領英雄,2022年12月13日 14:10
124,擁恆-豬哥亮墓園,擁恆_豬哥亮_墓園,2022年04月17日 10:58
125,奇觀藝術,等待參數實驗,2022年05月24日 15:54
127,光時代會議室179,SDK Test 測試場景,2022年03月06日 17:10
133,Ruby小貓_5491座標系,"RC_Demo_竹東星巴克,RC_Demo_綠能觀光元宇宙在竹東_01火車站,RC_Demo_綠能觀光元宇宙在竹東_02林業展示館,RC_Demo_綠能觀光元宇宙在竹東_03鎮公所","2023年05月19日 12:50,2023年06月08日 17:42,2023年06月08日 17:42,2023年06月08日 17:42"
136,運營測試區,永安海螺文化體驗園區,2022年07月07日 01:35
137,KM20_207,"",""
138,和全豐開發環境,誠品站前店_萬聖節-和全豐,2023年05月19日 20:19
139,Hank選戰Demo,選戰demo場景-plain,2022年07月15日 18:30
140,LivingCS1,LivingScene1,2022年07月20日 18:09
141,Julia小貓_946座標系_old,"Julia_Demo_Ad,Julia_Demo_誠品站前店_聖誕節🎄,julia_Demo_百威生醫","2023年04月18日 15:07,2022年09月16日 17:04,2023年04月19日 17:40"
144,光時代AR體驗,"元宇宙 in 市政府,台北市立動物園","2022年06月24日 11:15,2022年11月16日 18:25"
146,南港教育展,南港教育展,2022年08月18日 14:45
147,MEET大南方,天文館,2022年08月23日 15:00
148,奇觀辦公室,台北市市政府-大門,2022年04月13日 16:23
149,測試座標系,RC_誠品站前店_聖誕節🎄,2022年07月01日 10:30
150,威許,威許-LightSpace測試,2023年06月01日 10:23
151,光時代DEMO,智慧城市高雄展,2023年03月29日 07:12
152,碁康,高工局Demo,2023年05月05日 14:31
153,霹靂,霹靂in光榮碼頭,2022年10月24日 09:47
154,專題展覽,專題展覽,2022年09月16日 08:32
158,台北市政府聯合服務中心,聯合服務中心,2022年09月16日 15:07
159,永安海螺文化體驗園區,永安海螺館,2022年09月19日 15:18
160,未來城市-藝廊,未來城市-藝廊,2022年09月22日 11:34
161,未來城市-海洋世界,未來城市-海洋世界,2022年09月22日 11:35
178,0-601hk4g4,"資訊球、點餐、Logo、吉祥物,360任意門","2023年05月16日 16:15,2023年05月16日 11:40"
180,實境-南京復興,"",""
181,誠品聖誕節,RC_誠品站前店_聖誕節🎄,2022年07月01日 10:30
183,蝦米測試81,"AR物件場景測試綁定光標籤81,夢想遊樂園","2022年02月23日 11:04,2023年01月13日 11:48"
190,信義第三區,粽邪第三區解謎,2023年06月21日 11:04
191,中華電信5G加速器,"中華電信5G加速器,羅馬競技場-冠軍之路","2022年11月16日 06:35,2022年11月08日 13:38"
192,Meet Taipei - 光時代,"meet taipei 爭豔館,羅馬競技場-冠軍之路,亞灣新創園,yuli我的場景,外婆生日","2022年10月27日 09:43,2022年11月08日 13:38,2021年09月30日 17:39,2022年12月13日 16:19,2022年12月10日 05:20"
193,(Eliot) Coordinate System 1 (web),"(Eliot) Test Scene 1 (ios),(Eliot) Test Scene 1 (web)","2022年11月23日 11:21,2022年11月23日 11:20"
194,高雄市政府經發局,高雄市經發局,2022年11月23日 09:05
195,(Eliot) Coordinate System 2 (web),(Eliot) Test Scene 2 (web),2022年11月23日 11:43
196,雲端AI新視界,"雲端AI新視界,亞灣新創園,元宇宙 in 市政府,元宇宙 in 信義區,ACER","2022年11月28日 11:34,2021年09月30日 17:39,2022年06月24日 11:15,2022年11月09日 20:54,2022年11月29日 15:52"
197,光時代門口,blender test,2022年08月03日 16:01
198,鴻圖開發部門,元宇宙 in 市政府 (鴻圖),2022年12月06日 10:10
199,信義第一區第一關,粽邪第一區第一關解謎,2023年05月18日 14:14
200,高醫大校史館,高醫大校史館,2022年12月08日 17:22
203,acer-11F,11F,2022年12月14日 11:52
204,信義區夢想遊樂園子場景,"任意門1_賽車,任意門2_火星貓,禮納里旅客服務中心-室外","2022年11月29日 15:17,2022年12月09日 18:20,2023年02月20日 15:51"
207,eliot coordinate sys. lightid=400,"元宇宙 in 市政府,測試－儀表板ＭＯＤＥＬ,禮納里旅客服務中心-室外","2022年06月24日 11:15,2023年02月07日 14:29,2023年02月20日 15:51"
208,eliot coordinate sys. lightid=5520,力暘花蓮辦公室,2021年01月18日 13:21
209,DEMO,default scene,2022年12月15日 09:55
210,SunnyChen lightid=5469,測試－儀表板ＭＯＤＥＬ,2023年02月07日 14:29
211,demo002,demo002,2022年12月21日 08:51
212,創業者年會,"創業者年會,亞灣新創園,HoloParkScene,夢想遊樂園,高雄市經發局","2022年12月21日 09:44,2021年09月30日 17:39,2021年08月14日 14:04,2022年11月02日 11:09,2022年11月23日 09:05"
213,台北通開發人員,元宇宙 in 市政府,2022年06月24日 11:15
214,耶誕嘉年華主舞台,空總耶誕嘉年華-peter,2022年12月19日 16:11
215,耶誕嘉年華元宇宙,空總耶誕嘉年華,2022年09月01日 14:15
218,23科技燈區,RC_23科技燈區_0113_上架用_忽略可視距離_精靈已換好_參差版,2023年01月16日 13:37
219,mike測試,"夢想遊樂園,元宵燈節第一區,第五區ATT,第六區101","2022年11月02日 11:09,2023年01月13日 09:18,2023年02月16日 14:50,2023年02月21日 13:34"
221,運營_燈會test,RC_23科技燈區_0113_上架用_忽略可視距離_精靈已換好_參差版,2023年01月16日 13:37
222,信義第二區第一關,粽邪第二區第一關解謎,2023年06月02日 14:44
223,信義第四區第一關,粽邪第四區第一關解謎,2023年06月21日 11:17
224,acer展廳,acer 新年,2023年01月04日 16:34
230,茂林區座標系,茂林區,2023年02月14日 10:59
231,julia_Demo_Hank 辦公室,"臺北市政府大廳AR導覽,海底世界,亞灣新創園,高雄市經發局","2022年03月28日 17:35,2022年02月21日 16:07,2021年09月30日 17:39,2022年11月23日 09:05"
232,茂林新威遊客中心,新威旅客中心,2023年02月20日 15:08
233,新威遊客中心1F,新威旅客中心-1F,2023年02月20日 15:12
234,茂林新威遊客中心2F,新威旅客中心-2F,2023年02月20日 15:13
235,禮納里遊客服務中心,禮納里旅客服務中心-室外,2023年02月20日 15:51
236,禮納里遊客服務中心-1F,禮納里旅客服務中心-室內,2023年02月20日 16:33
237,att4fun,第五區ATT,2023年02月16日 14:50
238,101,元宇宙 in 市政府,2022年06月24日 11:15
239,互動地圖DEMO,"互動地圖demo,RC_Demo_6號隧道,RC_Demo_勝興車站,RC_Demo_龍騰斷橋","2023年02月22日 00:18,2023年02月22日 13:01,2023年02月22日 13:06,2023年02月13日 17:23"
242,智慧城市展,智慧城市展_showroom,2023年03月17日 11:38
243,智慧城市展-高雄場,智慧城市高雄展,2023年03月29日 07:12
244,0.0.0,"新威旅客中心,新威旅客中心-1F,新威旅客中心-2F,禮納里旅客服務中心-室外,禮納里旅客服務中心-室內,0.0.0,1.1.1","2023年02月20日 15:08,2023年02月20日 15:12,2023年02月20日 15:13,2023年02月20日 15:51,2023年02月20日 16:33,2022年01月13日 15:24,2022年01月07日 17:29"
245,茂林新威旅客中心,新威旅客中心-[練習區],2023年04月22日 13:00
246,茂林新威旅客中心2F,"",""
247,禮納里旅客服務中心,"",""
248,禮納里旅客服務中心-1F,"",""
249,茂林新威旅客中心-咖啡廳,茂林新威旅客中心-咖啡廳,2023年04月17日 17:49
251,殼上寫Henry,"高雄會展聯盟,光時代辦公室解謎,擁恆_豬哥亮,高雄市經發局-複製henry,萊爾富","2023年05月01日 16:40,2023年04月10日 13:17,2022年04月12日 13:09,2023年05月30日 17:57,2023年06月20日 14:20"
252,Julia小貓_965座標系,"Julia_Demo_誠品站前店_聖誕節🎄,Julia_Demo_Ad,RC_Demo_綠能觀光元宇宙在竹東_01火車站,RC_Demo_綠能觀光元宇宙在竹東_02林業展示館,RC_Demo_綠能觀光元宇宙在竹東_03鎮公所","2022年09月16日 17:04,2023年04月18日 15:07,2023年06月08日 17:42,2023年06月08日 17:42,2023年06月08日 17:42"
253,諾錡-4858,demo場景,2023年05月10日 17:08
255,粽邪7樓快問快答第一組,粽邪7樓快問快答第一組,2023年04月25日 10:18
256,銘傳招生4F,銘傳AR海底遊樂園4F,2023年05月25日 10:56
257,信義第一區第二關,粽邪第一區第二關解謎,2023年05月29日 13:34
258,test,"",""
259,信義第一區第三關,粽邪第一區最後關解謎,2023年05月31日 15:11
260,信義第二區第二關,粽邪第二區第二關解謎,2023年06月21日 10:55
261,信義第四區第二關,粽邪第四區第二關解謎,2023年06月21日 11:20
262,信義第四區第三關,粽邪第四區第三關解謎,2023年06月21日 11:20
263,國際會議中心,"投資博覽會,會議室Demo,大稻埕test","2023年06月06日 10:02,2023年04月17日 13:34,2023年06月13日 09:49"
264,粽邪快問快答,粽邪7樓快問快答第二組,2023年06月26日 13:58
